"omega","filename"
0.01471,"plot_001_0.0147100.png"
0.013239,"plot_002_0.0132390.png"
0.0119151,"plot_003_0.0119151.png"
0.0107236,"plot_004_0.0107236.png"
0.0096512,"plot_005_0.0096512.png"
0.0086861,"plot_006_0.0086861.png"
0.0078175,"plot_007_0.0078175.png"
0.0070357,"plot_008_0.0070357.png"
0.0063322,"plot_009_0.0063322.png"
0.005699,"plot_010_0.0056990.png"
0.0051291,"plot_011_0.0051291.png"
0.0046162,"plot_012_0.0046162.png"
0.0041545,"plot_013_0.0041545.png"
0.0037391,"plot_014_0.0037391.png"
0.0033652,"plot_015_0.0033652.png"
0.0030287,"plot_016_0.0030287.png"
0.0027258,"plot_017_0.0027258.png"
0.0024532,"plot_018_0.0024532.png"
0.0022079,"plot_019_0.0022079.png"
0.0019871,"plot_020_0.0019871.png"
0.0017884,"plot_021_0.0017884.png"
0.0016096,"plot_022_0.0016096.png"
0.0014486,"plot_023_0.0014486.png"
0.0013037,"plot_024_0.0013037.png"
0.0011734,"plot_025_0.0011734.png"
0.001056,"plot_026_0.0010560.png"
0.0009504,"plot_027_0.0009504.png"
0.0008554,"plot_028_0.0008554.png"
0.0007698,"plot_029_0.0007698.png"
0.0006929,"plot_030_0.0006929.png"
0.0006236,"plot_031_0.0006236.png"
0.0005612,"plot_032_0.0005612.png"
0.0005051,"plot_033_0.0005051.png"
0.0004546,"plot_034_0.0004546.png"
0.0004091,"plot_035_0.0004091.png"
0.0003682,"plot_036_0.0003682.png"
0.0003314,"plot_037_0.0003314.png"
0.0002983,"plot_038_0.0002983.png"
0.0002684,"plot_039_0.0002684.png"
0.0002416,"plot_040_0.0002416.png"
0.0002174,"plot_041_0.0002174.png"
0.0001957,"plot_042_0.0001957.png"
0.0001761,"plot_043_0.0001761.png"
0.0001585,"plot_044_0.0001585.png"
0.0001427,"plot_045_0.0001427.png"
0.0001284,"plot_046_0.0001284.png"
0.0001155,"plot_047_0.0001155.png"
0.000104,"plot_048_0.0001040.png"
